id,name,monthly_listeners,followers,ranking,wiki_page
1,Justin Bieber,84564565,49200000,1,https://en.wikipedia.org/wiki/Justin_Bieber
2,The Weeknd,75160000,35700000,2,https://en.wikipedia.org/wiki/The_Weeknd
3,Lil Nas X,55469164,5740749,9,https://en.wikipedia.org/wiki/Lil_Nas_X
4,Kanye West,43822159,14891048,25,https://en.wikipedia.org/wiki/Kanye_West
5,BROCKHAMPTON,7059312,1846143,,https://en.wikipedia.org/wiki/Brockhampton_(band)
6,100 gecs,1408834,416934,,https://en.wikipedia.org/wiki/100_Gecs
7,Porter Robinson,2236272,929384,,https://en.wikipedia.org/wiki/Porter_Robinson
8,"Tyler, the Creator",15900162,6874642,246,"https://en.wikipedia.org/wiki/Tyler,_the_Creator"
9,Frank Ocean,15481538,8129284,257,https://en.wikipedia.org/wiki/Frank_Ocean
10,Skrillex,31028691,7890373,63,https://en.wikipedia.org/wiki/Skrillex
11,Lil Uzi Vert,21577123,11911450,142,https://en.wikipedia.org/wiki/Lil_Uzi_Vert
12,Daniel Caesar,30893827,2821065,64,https://en.wikipedia.org/wiki/Daniel_Caesar
